,votes,winner,win_difference,all_votes,count
total,149046,865,5193,582134,19922
others,29701,166,1016,122204,4202
trace,20496,98,544,93745,3206
flora,20922,98,525,90453,3033
keith,20763,121,789,77226,2707
kat,20364,146,800,71289,2374
natani,19793,125,882,69317,2370
raine,15620,94,529,52079,1740
nora,8995,41,260,39342,1380
laura,13802,142,846,36219,1342
mike,8877,44,233,32490,1192
zen,9061,42,193,34056,1118
reni,6923,32,163,28506,998
clovis,6398,32,179,26959,950
rose,5074,29,137,21883,799
evals,4492,17,118,18158,688
maddie,4355,20,153,19986,672
maeve,4918,32,227,19498,623
adelaide,4649,29,211,16042,525
willow,2805,33,151,9885,377
alaric,2353,3,19,9152,341
