,name,date,votes,all_votes,winner,win_difference
13466,"sera singing into a mic, sitting on dj dragons shoulders as he provides the music.  the two putting on the best show the club has ever had.",2022-06-20 00:35:16.095672709+00:00,35,35,True,3
2922,"""good guy"" guy: guy helps a wasted keidran red to the inn, while refusing her drunken curious advances.",2018-12-16 23:40:15.491671430+00:00,35,51,False,0
20853,collar of keidranification: saria legacy into a lioness keidran,2017-10-16 20:06:52.325302417+00:00,35,35,True,0
21098,pet daughter: walks pre & post da-da incident,2017-11-13 01:14:08.871207510+00:00,34,34,True,3
2312,"the human explorer hugs one of the snow leopard's fluffy tails, causing a diplomatic incident",2018-08-20 00:47:00.645767275+00:00,34,54,False,0
9108,"mrs nibbly, in her anthro form, is lounging on her new wolf-skin rug. which looks a lot like remus...",2021-02-22 01:26:51.149651894+00:00,34,34,True,8
16940,"daniels & therie hire red to organize a gender reveal party for their kid.  he detonates the moon in either a pink or blue explosion, revealing the child's gender.",2023-06-12 01:17:35.255942240+00:00,34,34,True,4
1833,sam use colin as big fluffy pillow.,2018-06-10 20:02:06.470659224+00:00,34,50,False,0
17166,mrs nibbly accidentally starts a war,2023-07-10 01:13:47.765773973+00:00,34,34,True,5
10760,"the taverndatter sisters team up for a spectacular, extravagant, even daring bar trick",2021-09-19 21:52:28.559173218+00:00,34,34,True,3
17752,windstraw struggles to reach a doorknob because she’s too short and amelia is chuckling in the background. then in a next panel amelia helps windstraw open the door by holding her up so she can reach the doorknob,2023-08-21 00:53:18.070729093+00:00,34,34,True,16
15390,basitin flirting 3 - a basitin guardswoman and human soldier play striper poker. basitin doesn't know that human cheats,2023-02-06 01:48:41.623696637+00:00,34,34,True,2
13247,"amelia has windstraw try some catnip to help wake her up for the job, but it has some unintended side effects.",2022-06-05 23:11:26.059694474+00:00,34,34,True,6
2289,sealeen spikes edinmires water with her transformation potions.,2018-08-19 23:29:28.163445356+00:00,34,50,False,0
11518,"basitin holiday traditions, east vs. west: a look at how basitins decorate or celebrate the holiday and the differences between eastern and western basitin traditions",2021-12-06 03:35:40.015378585+00:00,33,33,True,8
10121,"mary silverlock uses transformation magic to turn into a snow wolf keidran. out of morbid curiosity, although feeling embarrassed doing so, she removes her robes to inspect her body in the fur.",2021-06-21 02:11:44.323992664+00:00,33,33,True,5
14449,red screwing with demon core,2022-10-17 00:10:39.904043869+00:00,33,33,True,0
15295,"after being kicked out of the templar college, red starts working as a tax collector. not a very wise choice - everybody just hates him more.",2023-01-23 01:31:12.777737071+00:00,33,33,True,2
17051,"places of mekkan: morlin hall, the human capital city ",2023-06-19 02:36:56.815852190+00:00,33,33,True,1
2084,toms birthday: page 92 - redrawn,2018-07-15 22:41:07.774261574+00:00,33,62,False,0
2720,gtog night 3: fem keidran red goes the wrong club and gets hit on by male keidran using cheesy keidran pickup lines. ,2018-11-19 00:14:34.495572498+00:00,33,49,False,0
13181,amelia finding windstraw sleeping in increasingly bizarre positions and places throughout the riftwall tavern,2022-05-23 01:27:03.346803039+00:00,33,33,True,4
16997,adira received a valentine and blushed at the cuteness of its contents,2023-06-18 22:46:33.110281025+00:00,33,33,True,1
16147,windstraw meowing for amelia to fill up her food bowl,2023-04-03 03:31:45.792339554+00:00,33,33,True,7
19707,windstraws shirt got a loose string and she can't resist the need to play with it causing it to unravel the more she paws at it and gets tangled up,2024-02-12 03:57:13.039311721+00:00,33,33,True,14
11320,sam and collin introducing the other to their respective thanksgiving traditions.,2021-11-21 22:41:00.075465096+00:00,33,33,True,4
11315,the modern trio visit mekkan's greatest natural wonder.,2021-11-15 03:47:53.887803569+00:00,32,32,True,2
3236,raf kieth joins the ww2 lineup,2019-01-21 02:06:39.749899544+00:00,32,50,False,0
1004,renamon either posing for eric or threatening to punch him over a portrait of her.,2017-09-18 01:57:11.430304911+00:00,32,42,False,0
1987,daniels proposing to therie in secret.,2018-06-24 20:26:45.357895709+00:00,32,61,False,0
17465,windstraw leaning against the inside of a tall glass brimming with beer... but wobbly and tipsy since she already drank half of it.,2023-08-07 00:32:10.460472881+00:00,32,44,False,0
3392,cheetah keidran species,2019-02-17 21:03:31.311546809+00:00,32,74,False,0
13040,good morning modern trio - but they've all fallen asleep after an all night gaming session.,2022-05-16 01:26:41.097484947+00:00,32,32,True,6
10635,"first time, interspecies edition: the wolf girl and human guy from the chart have a moment alone;  the human realizing that despite their reputation, wolves can be quite friendly...and playful.",2021-09-06 04:00:32.176678542+00:00,32,32,True,2
4682,lore: why don't dogs like foxes?,2019-11-17 22:20:41.455981072+00:00,32,32,True,2
2270,snow leopard hotel cultural research ,2018-08-19 21:45:24.018857630+00:00,32,69,False,0
1462,daniels proposes to therie who tearfully smiles at the gesture about to say yes,2018-04-08 22:18:15.503396062+00:00,32,60,False,0
8355,"what happens if the player selects the ""lol flat cat"" option in the twokinds high dating sim.",2020-12-14 03:28:38.809182051+00:00,32,32,True,8
10339,sythe druid of the forest (with nibbly),2021-07-11 23:29:12.283586965+00:00,31,31,True,0
1114,iris & her friend quiz therie about what she has learned about the humans (daniels).,2018-02-11 22:26:15.339837687+00:00,31,53,False,0
152,animorphs: maren transform into a keidran,2017-04-23 23:17:08.294441894+00:00,31,66,False,0
2016,ms. potts uses a stepladder to pet colin,2018-06-24 22:52:43.225474232+00:00,31,70,False,0
1662,"fem fur red is taken shopping for some new clothes by karen, who's having a great time",2018-05-06 23:11:32.356055299+00:00,31,45,False,0
20928,"rework the map, with locations where you might find the new races",2017-10-22 22:18:03.917222648+00:00,31,48,False,0
1223,what would a dragon keidran look like?,2018-03-04 21:07:44.683630157+00:00,31,59,False,0
2379,nibbly dressed as the grim reaper with her “sythe”,2018-09-16 21:22:59.399161481+00:00,31,61,False,0
1254,revenge of the prankster pixies,2018-03-04 23:25:24.567696766+00:00,31,56,False,0
1024,twokinds characters cosplaying who their favorite videogame characters would be.,2017-09-24 20:45:41.281853497+00:00,31,85,False,0
7515,adira and amelia playing under a waterfall (for sneptember!),2020-09-20 20:12:32.345967329+00:00,31,31,True,7
8090,cat keidran karen,2020-11-22 22:19:05.204719348+00:00,31,31,True,2
11639,eggnog aftermath - sythe and maren awakening together after having indulged themselves too much in the holiday drink.,2021-12-13 02:14:45.900300672+00:00,31,31,True,5
16589,the lynx prince tries to convince lt. reed of what a good husband he would be by introducing her to his other husbands and wives. they all seem very happy... and very friendly!,2023-05-15 00:42:50.189530952+00:00,31,31,True,4
12218,carver successfully assimilated by western basitin ladies. loincloth and all.,2022-02-14 03:06:30.112311409+00:00,31,31,True,4
8231,holidays with the snow leopard tribe,2020-12-06 23:37:48.126504848+00:00,31,31,True,1
19595,reed's infiltration of the lynxes goes far too well when she finds herself waking up in the same bed as the prince and his big muscular friend,2024-02-05 05:14:49.157220485+00:00,30,30,True,2
10822,chimera ref sheet,2021-09-20 03:43:10.907398096+00:00,30,30,True,4
17027,"victoria as a north korean traffic lady, directing traffic in the streets of pyongyang.",2023-06-19 01:05:45.293759359+00:00,30,30,True,5
1334,seraphina finally becomes a dragon! unfortunately for her she's lizard sized.,2018-03-12 20:56:01.244141939+00:00,30,30,True,4
5307,sythe reference sheet,2020-02-16 23:59:36.758197785+00:00,30,30,True,5
4859,"the explorers are invited to share a communal tiger bed, much to their embarrassment ",2019-12-08 21:44:25.686487886+00:00,30,30,True,1
953,eric's first drawing lessons: being shy with models,2017-09-17 20:40:38.154259226+00:00,30,67,False,0
19851,"alice reed discovers that wearing the collar for too long has some side effects, as taking it off doesn't get of the lynx ears... or the tail... or the paws...",2024-03-03 22:44:00.205676426+00:00,30,37,False,0
16515,species swap: daniels is now a tiger and therie is a human!,2023-05-08 03:30:52.834487727+00:00,30,30,True,1
1046,auditions to twokinds: the movie,2018-02-04 22:21:09.452717121+00:00,30,61,False,0
10842,wolf girl and human man from the races chart sitting down together and actually getting to know one another,2021-09-20 04:37:55.119177726+00:00,30,30,True,8
16859,w0lf's ember in the night of the living pants.,2023-06-05 04:07:40.202385676+00:00,30,30,True,10
20663,"pet daughter finds an actual border collie and tries to start a conversation with them, the collie only looks backs with confusion.",2024-05-06 05:07:54.765277551+00:00,30,30,True,6
13334,"dj date: dj dragon accepts seraphina's date. to his surprise, turns out the two have a lot in common and sera really knows how to party.",2022-06-13 00:21:40.254499684+00:00,30,30,True,6
5207,"eric's lewd suggestion. eric is a patron and his suggestion wins the ballot, all hell breaks loose.",2020-01-26 23:01:01.424370699+00:00,29,29,True,1
15961,lynx reed goes on an undercover mission to talk to the keidrians. as a male lynx hits on her she gets flustered  ,2023-03-19 20:48:17.417659953+00:00,29,49,False,0
15565,"""matriarch dahlia teaching a young therie how to hunt ",2023-02-13 01:32:16.515199168+00:00,29,44,False,0
14562,halloween: maren as a witch with sythe as her familiar,2022-10-24 00:34:40.695282432+00:00,29,29,True,0
19930,landen’s to do list: landen holding an oversized coffee cup with the following to-do steps: 1. drink coffee 2. try not to kill anyone 3. repeat steps 1 and 2,2024-03-04 04:56:30.358852014+00:00,29,29,True,1
9356,if lauren had a lost white fox sister,2021-04-05 03:28:28.134953503+00:00,29,29,True,1
52,keidranification: maren the kitty!,2017-04-09 23:33:42.407810162+00:00,29,82,False,0
2093,ms. potts uses a stepladder to pet colin,2018-07-15 23:17:11.131952885+00:00,29,47,False,0
1166,the female main character from the halfkind comic returns!,2018-02-18 21:02:14.482272429+00:00,29,46,False,0
17435,lynx reed daki,2023-08-06 22:03:13.838697171+00:00,29,32,False,0
8655,a full body drawing of a female keidran red nose reindeer.,2021-01-11 01:47:12.528704935+00:00,29,29,True,4
20524,windstraw auditions to be in the musical cats. the casting director clarifies that they're looking for human actors not actual cats.,2024-04-22 01:54:30.869514699+00:00,29,29,True,1
2469,renamon posing for a portrait for eric,2018-10-14 20:01:09.431946659+00:00,29,59,False,0
832,female characters' backside comparison chart,2017-08-20 23:48:55.694841418+00:00,29,57,False,0
852,"maren over-grooms sythe (maren gets carried away with grooming sythe, to the point of putting a bow on his head) ",2017-08-27 20:57:03.531119374+00:00,28,82,False,0
8801,"hunky snep guy finally pops the question to explorer girl, who is ecstatic and filled with so many questions! like why is he carrying her to the nearest hut, and what will happen once they get inside?",2021-01-25 04:07:26.042456475+00:00,28,28,True,2
774,lieutenant reed and daniels getting cursed with keidranfication collars!,2017-08-13 23:04:50.218377858+00:00,28,68,False,0
4760,"maren has a “nightmare” where she is getting married, with sythe becoming her husband.",2019-11-24 21:44:57.329552218+00:00,28,28,True,3
20076,"windstraw is auditioning to be in cats the musical. the casting director tells windstraw that they're looking for humans, not literal cats.",2024-03-24 23:54:33.441151395+00:00,28,40,False,0
2640,sam & colin cuddling while watching & discussing their favourite tv show: twokinds.,2018-11-11 23:05:14.801660065+00:00,28,50,False,0
10286,"what if karen put on the collar in magical mishaps, as she intended to do?",2021-07-05 01:31:32.628649464+00:00,28,28,True,6
3226,birbkinds: what would a bird keidran look like?,2019-01-21 02:06:39.749899544+00:00,28,58,False,0
14098,maren meets wolf maren and cat maren,2022-09-11 22:19:54.244874106+00:00,28,40,False,0
5069,"nib nab 3,  nibby gets sythe and maren",2020-01-05 23:11:47.662419466+00:00,28,28,True,7
20496,"the keidran petting game.  concept is simple, a flap you put your hand through and guess the part of and kind of keidran you're petting.  maybe a fluffy tail? paw pad? mouth full of teeth?  chomp!",2024-04-22 01:24:07.831979744+00:00,28,36,False,0
18703,daniels and therie having a romantic walk through the snow covered forest at night,2023-12-03 23:25:00.224295561+00:00,28,39,False,0
13089,amelia and windstraw ref sheet,2022-05-16 02:53:54.732382315+00:00,28,28,True,4
15489,"basitin flirting 4: the next morning they have to report for duty early, which results in a bit of a mix up with the uniforms.",2023-02-13 00:05:07.163013846+00:00,28,40,False,0
15618,good morning sythe.,2023-02-20 02:08:10.026132628+00:00,28,39,False,0
18436,"amelia using a laser pointer to tease windstraw, who swears bloody vengeance for this indignity",2023-11-06 07:03:22.020101368+00:00,28,28,True,4
14456,"modern trio skinny dipping in a shallow stream during a hiking drip, unaware of a certain squirrel stealing the clothes they left by the water's edge.",2022-10-17 00:10:39.904043869+00:00,27,37,False,0
16667,the basitin cop sexily posing in a risque uniform for the latest eye candy police calendar,2023-05-22 02:15:06.392848991+00:00,27,29,False,0
