date,suggestions,ballots,winner_votes,all_votes,winner_difference
2021-11-22T02:40:14.383724281Z,28,76,35,35,5
2021-11-22T03:31:43.409829789Z,27,61,25,25,2
2021-12-05T22:24:39.007788718Z,28,77,34,34,10
2021-12-06T00:06:28.933317378Z,29,80,24,24,1
2021-12-06T02:08:43.772091416Z,28,72,36,36,6
2021-12-06T03:35:40.015378585Z,31,61,33,33,8
2021-12-13T01:04:52.935794982Z,28,76,37,37,9
2021-12-13T01:30:08.762239116Z,28,81,35,35,11
2021-12-13T01:50:59.273621429Z,28,76,37,37,7
2021-12-13T02:14:45.900300672Z,28,72,31,31,5
2021-12-19T22:24:51.753033125Z,27,75,45,45,21
2021-12-20T00:41:07.061876257Z,27,77,33,33,2
2021-12-20T02:29:52.950624844Z,28,66,33,33,0
2021-12-20T04:01:12.673741185Z,29,65,30,30,6
2017-03-26T19:46:03.387260818Z,8,79,61,61,3
2017-03-26T21:11:16.05893655Z,7,100,84,84,33
2017-03-26T22:34:34.531535468Z,8,73,58,58,8
2017-03-26T23:20:17.120951475Z,9,80,65,65,16
2017-04-09T20:37:55.190532934Z,9,106,84,84,12
2017-04-09T21:42:50.560379043Z,9,101,78,78,6
2017-04-09T23:33:42.407810162Z,9,106,86,86,2
2017-04-10T00:37:59.571059039Z,10,71,59,59,16
2017-04-10T02:17:30.915416832Z,25,66,37,37,8
2017-04-16T19:42:05.73848588Z,8,97,76,76,10
2017-04-16T21:38:56.222254865Z,7,96,85,85,7
2017-04-16T23:16:00.81298801Z,8,87,70,70,18
2017-04-17T00:34:00.592646989Z,10,94,69,69,4
2017-04-23T19:40:58.384118689Z,9,91,63,63,6
2017-04-23T21:40:20.148972269Z,8,106,82,82,23
2017-04-23T23:17:08.294441894Z,10,106,65,65,16
2017-04-24T01:02:13.634106529Z,9,90,60,60,7
2017-04-24T02:51:16.015340898Z,14,14,7,7,0
2017-04-24T03:05:28.285482092Z,13,18,17,17,5
2017-05-07T19:46:47.124911373Z,10,134,103,103,26
2017-05-09T22:24:49.697449485Z,9,56,39,39,12
2017-05-10T00:23:17.718615063Z,12,64,42,42,5
2017-05-10T02:21:09.014198916Z,14,45,25,25,5
2017-05-14T19:59:27.43687332Z,12,131,78,78,6
2017-05-14T22:23:48.194370767Z,16,88,59,59,12
2017-05-15T00:30:28.95743812Z,11,73,56,56,13
2017-05-15T01:59:35.992175666Z,13,74,47,47,3
2017-05-21T19:39:13.796519062Z,9,115,83,83,4
2017-05-21T21:12:45.581820782Z,10,126,88,88,15
2017-05-21T23:04:30.607272074Z,13,92,54,54,8
2017-05-22T01:01:52.212105333Z,13,77,46,46,1
2017-06-04T20:20:12.476452453Z,11,135,79,79,2
2017-06-05T00:01:40.606949578Z,9,60,37,37,3
2017-06-05T01:50:14.10790305Z,10,73,50,50,5
2017-06-05T02:44:58.102213428Z,20,59,36,36,3
2017-06-05T02:58:20.745799997Z,12,63,39,39,5
2017-06-11T19:51:32.157282077Z,17,118,69,69,22
2017-06-11T21:07:51.221750866Z,16,91,54,54,10
2017-06-11T22:40:01.23213447Z,16,98,52,52,1
2017-06-12T01:10:42.486196842Z,15,74,52,52,8
2017-06-18T19:48:52.353494855Z,15,106,70,70,14
2017-06-18T21:01:54.182712289Z,13,139,90,90,10
2017-06-18T22:38:32.212413682Z,14,119,74,74,9
2017-06-18T23:48:00.733812033Z,14,103,57,57,13
2017-06-25T19:38:15.280507769Z,15,100,60,60,8
2017-06-25T20:42:53.523887299Z,14,100,54,54,20
2017-06-25T21:51:42.71083067Z,11,105,62,62,0
2017-06-25T23:01:33.089408584Z,12,90,53,53,9
2017-07-09T19:52:55.468830667Z,11,104,74,74,32
2017-07-09T21:04:25.070688461Z,10,128,78,78,18
2017-07-09T22:09:12.800429657Z,10,121,83,83,7
2017-07-09T23:29:42.079369894Z,14,123,74,74,11
2017-07-16T20:00:03.15529594Z,14,113,66,66,10
2017-07-16T21:39:10.442342141Z,12,102,67,67,2
2017-07-16T22:59:00.818940323Z,12,79,50,50,8
2017-07-17T00:57:17.838166493Z,14,67,40,40,9
2017-07-17T01:09:09.395866208Z,9,47,26,26,1
2017-07-30T19:49:23.936905694Z,16,118,72,72,14
2017-07-30T21:28:13.866563976Z,15,94,55,55,6
2017-07-30T22:57:43.397246745Z,16,109,61,61,4
2017-07-30T23:55:33.190279212Z,15,95,54,54,2
2017-08-13T19:49:13.074221271Z,15,124,75,75,0
2017-08-13T21:38:22.636594642Z,14,141,91,91,29
2017-08-13T23:04:50.218377858Z,14,122,77,77,2
2017-08-14T00:29:55.044529405Z,14,106,65,65,12
2017-08-20T19:37:56.065028222Z,2,42,37,37,27
2017-08-20T19:40:59.0411217Z,15,106,63,63,2
2017-08-20T21:58:45.374652064Z,15,135,77,77,12
2017-08-20T23:48:55.694841418Z,15,107,70,70,23
2017-08-27T19:48:58.198268794Z,13,131,81,81,7
2017-08-27T20:57:03.531119374Z,14,142,89,89,9
2017-08-27T23:12:50.243073534Z,13,112,68,68,3
2017-08-28T01:18:28.575144199Z,13,95,53,53,8
2017-09-10T19:49:08.518828907Z,16,123,64,64,2
2017-09-10T21:45:56.745981717Z,14,141,85,85,9
2017-09-10T23:27:06.784700707Z,15,117,57,57,7
2017-09-11T00:39:54.28977247Z,15,98,63,63,11
2017-09-17T20:40:38.154259226Z,16,124,68,68,1
2017-09-17T22:07:51.372271938Z,15,116,75,75,12
2017-09-18T00:20:58.303190348Z,16,99,57,57,17
2017-09-18T01:57:11.430304911Z,15,84,48,48,3
2017-09-24T20:45:41.281853497Z,16,141,93,93,21
2017-09-24T22:44:39.598511145Z,17,119,61,61,5
2017-09-25T00:45:17.02015878Z,16,92,49,49,7
2017-09-25T01:53:00.711611365Z,16,87,46,46,2
2017-10-08T20:37:12.307080671Z,19,171,91,91,10
2017-10-08T21:15:16.396712793Z,18,116,69,69,17
2017-10-08T22:28:37.419139646Z,19,120,58,58,7
2017-10-08T23:35:18.120786584Z,18,92,39,39,5
2017-10-16T20:06:52.325302417Z,18,76,35,35,0
2017-10-16T21:26:56.478240883Z,16,87,45,45,2
2017-10-16T22:42:14.504847455Z,18,115,56,56,4
2017-10-17T00:04:41.882246383Z,17,97,44,44,4
2017-10-22T20:13:43.642304198Z,16,131,73,73,17
2017-10-22T22:18:03.917222648Z,17,110,54,54,11
2017-10-22T23:24:37.735654731Z,17,111,49,49,2
2017-10-23T00:48:23.629941579Z,17,96,55,55,20
2017-11-05T21:08:56.56538987Z,17,150,81,81,8
2017-11-05T22:28:49.338443329Z,16,167,93,93,5
2017-11-05T23:41:15.188261834Z,17,159,79,79,11
2017-11-06T00:53:52.889014155Z,16,108,51,51,5
