,name,date,votes,winner,win_difference
9347,willow daki,2021-01-10 21:09:37.664629091+00:00,5,False,0
9359,"willow mourns the loss of her first friend, having unwittingly her to an untimely demise, she cradles her body while possessing it",2021-01-10 21:09:37.664629091+00:00,23,False,0
9420,willow reference sheet,2021-01-11 01:47:12.528704935+00:00,2,False,0
9444,clothes shopping for willow - in a lamp store,2021-01-11 03:22:16.809661572+00:00,1,False,0
9497,laura biting her claws. willow suggests she uses a scratching post instead.,2021-01-25 00:11:09.393622957+00:00,28,True,1
9499,willow hangs out at laura’s place for game night!,2021-01-25 00:11:09.393622957+00:00,3,False,0
9515,road trip with willow future au laura tells willow “we’re gunna break your curse. just tell me the opposite of your gut feelings.” willow is terrified to be the ‘navigator’ again.,2021-01-25 02:15:33.423059045+00:00,9,False,0
9519,willow reference sheet,2021-01-25 02:15:33.423059045+00:00,3,False,0
9533,ghost laura and willow haunting the twokinds cast,2021-01-25 04:07:26.042456475+00:00,18,False,0
9570,ghost laura and willow haunting the cast in the legacy estate,2021-02-07 21:06:07.737048811+00:00,20,False,0
9574,willow daki,2021-02-07 21:06:07.737048811+00:00,2,False,0
9604,willow reference sheet,2021-02-07 22:50:41.202700005+00:00,20,False,0
9636,willow and ghost laura go deep into the woods and meet willow’s “mother”,2021-02-08 00:23:00.867468861+00:00,19,False,0
9664,willow hangs out at laura’s place for game night!,2021-02-08 01:15:01.376281513+00:00,4,False,0
9680,willow hangs out at laura’s place for game night!,2021-02-14 22:13:07.503697920+00:00,6,False,0
9689,willow daki,2021-02-14 22:13:07.503697920+00:00,2,False,0
9753,willow reference sheet,2021-02-15 01:53:29.431398233+00:00,12,False,0
9764,willow and ghost laura go deep into the woods and meet willow’s “mother”,2021-02-15 03:15:50.869081934+00:00,13,False,0
9780,raine writing a ghost story with ghost laura and willow,2021-02-15 03:15:50.869081934+00:00,5,False,0
9813,willow reference sheet,2021-02-21 21:44:45.388990647+00:00,8,False,0
9854,willow daki,2021-02-22 01:26:51.149651894+00:00,6,False,0
