,name,date,votes,all_votes,winner,win_difference
4393,cheetah keidran,2019-02-03 21:49:19.244231455+00:00,96,96,True,8
3058,daniels meeting therie's parents!,2018-06-17 20:39:02.714569657+00:00,92,92,True,31
871,"nibbly's bad fur day, because sythe tried to dry soaking wet nibbly with a hair dryer.",2017-06-18 21:01:54.182712289+00:00,90,90,True,10
699,"karen trying to learn magic, accidentally turning maren into a keidran",2017-05-21 21:12:45.581820782+00:00,88,88,True,15
2703,keidran tails: body language quick reference,2018-04-22 20:05:21.562154961+00:00,86,86,True,14
982,nibbly cornering a squirrelified sythe,2017-07-09 22:09:12.800429657+00:00,83,83,True,7
636,♂ to ♀ lineup b,2017-05-14 19:59:27.436873320+00:00,78,78,True,6
1989,"a few of the off-set characters chat in the break room during ""filming"" of twokinds.",2018-01-07 21:31:03.954832693+00:00,76,76,True,11
2055,mrs. nibbly trying to solve a rubik's cube.,2018-01-14 21:04:37.546618818+00:00,76,76,True,7
2864,"king adelaid's mid life crisis, the desire for another child! all males to vanish.",2018-05-13 21:09:28.715004127+00:00,76,76,True,3
888,the main group meeting their creator and both sides being confused,2017-06-18 22:38:32.212413682+00:00,74,74,True,9
2403,a secret kiss embrace between daniels & therie sah-van,2018-03-04 23:25:24.567696766+00:00,71,71,True,24
2012,"carver's wild teleport lands him in hot water... specifically, his boss's bath!",2018-01-07 22:52:19.948271102+00:00,68,68,True,9
1267,keidran growth/age chart from infant to adult,2017-08-27 23:12:50.243073534+00:00,68,68,True,3
2924,unaware of his reputation adira commissions a portrait from eric,2018-05-20 21:10:33.311171021+00:00,67,67,True,18
3285,snow leopard village ( before they lost their territory),2018-08-05 22:05:53.729460283+00:00,66,66,True,5
2077,sythe-o-vision: flortani’s child,2018-01-14 21:52:59.747359845+00:00,66,66,True,2
3618,tom leaves eric in charge of art for a day. things get a bit weird ,2018-10-14 21:09:02.870503848+00:00,66,66,True,25
2194,keidran nibbly beckons sythe into bed,2018-02-04 22:21:09.452717121+00:00,65,65,True,8
3771,followup/aftermath of the body costume swap sketch.,2018-11-11 21:06:44.561135084+00:00,65,65,True,7
1333,"maren + collar of keidranification, and sythe's reaction",2017-09-11 00:39:54.289772470+00:00,63,63,True,11
4319,the human girl researching the snow leopards gets turned into a snow leopard herself.,2019-01-14 00:54:11.721139011+00:00,62,62,True,3
2160,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-22 00:38:06.889946547+00:00,60,60,True,9
643,tom's tablet's funeral,2017-05-14 22:23:48.194370767+00:00,59,59,True,12
4391,how exactly did red get kicked out of the templar college?,2019-02-03 21:49:19.244231455+00:00,58,94,False,0
1376,a human family adopts a stray puppy only to find out years later it was a keidran dog,2017-09-18 00:20:58.303190348+00:00,57,57,True,17
3354,snow leopard village 2: hot springs!,2018-08-12 21:52:09.793465860+00:00,57,57,True,1
3015,"sealeen tries out a potion or keidranificaton she concocted, but it doesn't work quite right",2018-06-10 23:19:09.267466863+00:00,57,57,True,1
2565,therie & daniels find magical amulets that switch their races.,2018-03-19 01:17:20.668766821+00:00,55,55,True,16
1668,"pet daughter: the dad reintroduces her to the family ""our dog is now your sister""",2017-10-23 00:48:23.629941579+00:00,55,55,True,20
4739,maren can’t get the image of stupid sexy sythe out of her head. it’s like he’s wearing nothing at all!,2019-03-11 00:06:33.421477754+00:00,55,74,False,0
2960,eric convinces iris and her friend to pose for a painting. (the tigresses from page 900),2018-05-20 23:58:00.342770164+00:00,54,54,True,5
4612,the whole gang in a storyboard room talking to each other figuring out what's gonna happen in the next comic,2019-03-03 21:56:58.442548813+00:00,54,84,False,0
1709,pet daughter 1.75: graduation,2017-11-05 22:28:49.338443329+00:00,53,94,False,0
1312,another kind/species of keidran we haven't yet seen,2017-09-10 21:45:56.745981717+00:00,53,81,False,0
3199,adira bikini pinup,2018-07-15 20:05:08.221195054+00:00,53,76,False,0
2756,sketchception: tom live-streaming tom live-streaming tom live-streaming…,2018-04-22 23:54:33.127622235+00:00,53,53,True,9
2591,main characters as kids in a classroom,2018-04-08 20:25:59.081272032+00:00,53,76,False,0
3930,adventurer lady writing in her notebook while unconsciously nomming on the end of her new snow leopard tail.,2018-11-25 23:43:17.363533431+00:00,52,52,True,6
3206,a human attempting to sneak into a wolf keidran village by dressing in a wolf fursuit.,2018-07-15 21:16:41.269612983+00:00,51,92,False,0
3401,everyone at a pool party!,2018-08-19 20:04:45.704316132+00:00,51,79,False,0
3813,holiday party shenanigans. maren catching sythe under the magic mistletoe.,2018-11-12 00:32:55.510927387+00:00,50,50,True,7
448,dragon nibbly,2017-04-09 23:33:42.407810162+00:00,50,82,False,0
1451,pet keidran daughter hijinks - her parents tell her she was adopted.,2017-09-25 00:45:17.020158780+00:00,49,49,True,7
1131,female characters backside comparison chart,2017-08-13 19:49:13.074221271+00:00,49,78,False,0
724,eric discovers the internet,2017-05-22 01:01:52.212105333+00:00,46,46,True,1
3883,"winter: sam “trips” into colin’s fluff, leaving one flushed doggo.",2018-11-19 01:53:09.832420605+00:00,46,46,True,14
4711,a tigress noble helps guide two male human cartographers to map out the tiger territory!,2019-03-10 21:38:19.250108325+00:00,46,82,False,0
297,euchre character sheet,2021-12-19 22:24:51.753033125+00:00,45,45,True,21
2319,iris & her friend quiz therie about what she has learned,2018-02-18 21:37:15.105538262+00:00,44,44,True,3
3416,the girls playing truth or dare ,2018-08-19 21:45:24.018857630+00:00,43,70,False,0
500,"all the main male characters lined up, showing off their physique.",2017-04-16 21:38:56.222254865+00:00,43,83,False,0
2297,a steamy encounter: therie sah-van surprises daniels in the guards' showers.,2018-02-12 01:00:54.622676335+00:00,42,42,True,3
3534,"adventurer at snow leopard village hugs a fluffy tail, causes a diplomatic incident",2018-09-16 21:22:59.399161481+00:00,41,65,False,0
1361,new type: lynx keidran,2017-09-17 22:07:51.372271938+00:00,41,64,False,0
3111,"after the hint in their last sketch, therie & daniels as proud parents.",2018-06-18 02:27:04.858960863+00:00,41,41,True,6
10457,how the artic wolf and northern basitin met and later become a couple.,2021-04-05 02:13:54.680717527+00:00,40,40,True,2
597,updated bust chart of the gender-bent group,2017-05-09 22:24:49.697449485+00:00,39,39,True,12
491,daniels' tigress friend dragging him off to shepards square,2017-04-16 19:42:05.738485880+00:00,39,77,False,0
1629,tigress #37 comforts daniels post-battle,2017-10-22 20:13:43.642304198+00:00,39,76,False,0
2459,seraphina finally becomes a dragon! unfortunately for her she's lizard sized.,2018-03-11 22:20:50.280200432+00:00,39,61,False,0
8045,karen catches maren giving sythe a belly rub,2020-08-02 21:17:07.107729070+00:00,39,39,True,6
11231,sythe rubs wolf-maren paws to help her relax. maren pretends she doesn't like this,2021-06-20 23:55:06.909045035+00:00,38,38,True,1
2110,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-14 23:57:11.336804041+00:00,38,56,False,0
3060,adira dakimakura,2018-06-17 20:39:02.714569657+00:00,38,63,False,0
9748,maren's pet grooming instincts kick in and she decides to give sythe a bath... together.,2021-01-10 21:09:37.664629091+00:00,38,38,True,3
11786,good morning amelia,2021-09-12 22:03:59.150283064+00:00,37,37,True,7
745,"""building alliances...through strip poker!?"" kei and alelaide",2017-06-05 00:01:40.606949578+00:00,37,37,True,3
1429,strip poker 2: lt. reed vs. sythe,2017-09-24 22:44:39.598511145+00:00,37,61,False,0
1821,"a keiser family thanksgiving (western basitin style, how scandalous).",2017-11-19 21:14:00.680232302+00:00,37,67,False,0
10101,"maren opens a box of valentine's chocolates, only somehow mrs nibbly got in and has eaten half of them",2021-02-14 23:56:45.059357751+00:00,37,37,True,5
2089,nibbly rocking out to some metal. \m/,2018-01-14 22:51:45.000378404+00:00,37,57,False,0
1185,yes,2017-08-20 19:37:56.065028222+00:00,37,37,True,27
4845,maren brushes out sythe's matted fur as he lounges on her lap.,2019-04-07 20:15:27.181231854+00:00,37,72,False,0
3213,"the set of twokinds has a wardrobe problem as everyone is dressed in someone else's clothes, or lack thereof. ",2018-07-15 21:16:41.269612983+00:00,36,85,False,0
8373,a town guard struggling to move an unusually heavy white cat that is blocking the road.,2020-08-23 23:15:50.064954856+00:00,36,36,True,7
1553,collar of keidranification: saria legacy into a lioness keidran,2017-10-16 20:06:52.325302417+00:00,35,35,True,0
525,"updated ""bust chart"" for the gender bent groups",2017-04-23 19:40:58.384118689+00:00,35,63,False,0
2019,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-07 22:52:19.948271102+00:00,35,61,False,0
1982,pet daughter: her first family christmas,2017-12-18 01:11:41.945103856+00:00,35,55,False,0
1760,unique keidran cultural practices or rituals,2017-11-12 21:21:32.902575988+00:00,35,58,False,0
4084,"""good guy"" guy: guy helps a wasted keidran red to the inn, while refusing her drunken curious advances.",2018-12-16 23:40:15.491671430+00:00,35,51,False,0
3003,daniels takes therie home to meet his parents. awkward family dinner ensues.,2018-06-10 21:34:05.543128384+00:00,35,49,False,0
983,beach party featuring main cast of twokinds. just kicking back and having fun before the summer ends.,2017-07-09 22:09:12.800429657+00:00,35,73,False,0
12044,twokinds calendar. how many months in a year? days in a month? what are the significant dates?,2021-10-03 23:18:02.122877750+00:00,35,35,True,2
10249,"mrs nibbly, in her anthro form, is lounging on her new wolf-skin rug. which looks a lot like remus...",2021-02-22 01:26:51.149651894+00:00,34,34,True,8
11896,"the taverndatter sisters team up for a spectacular, extravagant, even daring bar trick",2021-09-19 21:52:28.559173218+00:00,34,34,True,3
2995,sam use colin as big fluffy pillow.,2018-06-10 20:02:06.470659224+00:00,34,50,False,0
1808,pet daughter: walks pre & post da-da incident,2017-11-13 01:14:08.871207510+00:00,34,34,True,3
3458,"the human explorer hugs one of the snow leopard's fluffy tails, causing a diplomatic incident",2018-08-20 00:47:00.645767275+00:00,34,54,False,0
3428,sealeen spikes edinmires water with her transformation potions.,2018-08-19 23:29:28.163445356+00:00,34,50,False,0
