,votes,winner,win_difference,all_votes,count
total,106002,605,3746,393444,12523
others,18304,96,619,75024,2464
flora,16053,76,432,64309,2046
trace,14627,71,435,62474,2003
keith,15955,92,658,56496,1772
natani,16462,110,825,53216,1624
kat,15175,112,598,48204,1475
raine,11839,73,445,37796,1134
zen,7356,36,158,26722,821
nora,6121,28,203,24301,800
mike,6625,39,224,21956,719
laura,7658,72,390,18762,667
reni,4393,22,106,17020,551
clovis,4491,22,121,15948,523
maddie,3691,17,146,16243,497
rose,3937,26,125,15244,469
maeve,3691,19,150,14792,449
adelaide,3627,21,178,11763,366
evals,3112,13,80,11590,361
alaric,1570,2,14,6310,184
willow,1510,21,60,4590,179
