,votes,winner,win_difference,all_votes,count
total,127599,737,4461,490693,16201
others,23857,130,814,97734,3290
trace,17684,83,486,78928,2641
flora,18611,88,476,78161,2574
keith,18115,105,724,67191,2202
natani,18323,122,871,62890,1998
kat,18217,136,743,60383,1924
raine,13880,87,505,45807,1429
nora,7368,35,236,31298,1066
laura,10710,104,614,28090,1018
mike,8041,41,229,28656,997
zen,8343,38,167,31035,978
reni,5315,27,125,21749,726
clovis,5302,28,149,20780,711
rose,4575,29,137,19204,639
maddie,4047,18,149,18558,591
maeve,4273,25,178,17389,546
evals,3911,15,89,15669,536
adelaide,4032,23,199,13725,440
willow,2294,28,107,7779,300
alaric,2041,3,19,8017,262
