,name,date,votes,all_votes,winner,win_difference
13779,"maren opens a box of valentine's chocolates, only somehow mrs nibbly got in and has eaten half of them",2021-02-14 23:56:45.059357751+00:00,37,37,True,5
3171,mad lad red builds himself a killdozer and drives through (literally) new edinmire.,2022-06-13 03:57:09.834650519+00:00,37,37,True,13
6891,"the set of twokinds has a wardrobe problem as everyone is dressed in someone else's clothes, or lack thereof. ",2018-07-15 21:16:41.269612983+00:00,36,85,False,0
12051,a town guard struggling to move an unusually heavy white cat that is blocking the road.,2020-08-23 23:15:50.064954856+00:00,36,36,True,7
2582,brutus reference sheet,2022-03-07 02:45:20.527902213+00:00,36,36,True,7
1149,"amelia finally allowing herself to have a good autumn day, sitting in a lounge chair in a comfy flannel shirt with some hot cocoa, and reading a good book.",2022-11-06 22:22:32.769114523+00:00,36,36,True,5
7762,"""good guy"" guy: guy helps a wasted keidran red to the inn, while refusing her drunken curious advances.",2018-12-16 23:40:15.491671430+00:00,35,51,False,0
5660,pet daughter: her first family christmas,2017-12-18 01:11:41.945103856+00:00,35,55,False,0
2624,who won the dodge ball thing?,2022-03-07 03:41:01.344218906+00:00,35,35,True,1
4661,beach party featuring main cast of twokinds. just kicking back and having fun before the summer ends.,2017-07-09 22:09:12.800429657+00:00,35,73,False,0
4203,"updated ""bust chart"" for the gender bent groups",2017-04-23 19:40:58.384118689+00:00,35,63,False,0
5231,collar of keidranification: saria legacy into a lioness keidran,2017-10-16 20:06:52.325302417+00:00,35,35,True,0
5438,unique keidran cultural practices or rituals,2017-11-12 21:21:32.902575988+00:00,35,58,False,0
5697,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-07 22:52:19.948271102+00:00,35,61,False,0
6681,daniels takes therie home to meet his parents. awkward family dinner ensues.,2018-06-10 21:34:05.543128384+00:00,35,49,False,0
15722,twokinds calendar. how many months in a year? days in a month? what are the significant dates?,2021-10-03 23:18:02.122877750+00:00,35,35,True,2
3228,"sera singing into a mic, sitting on dj dragons shoulders as he provides the music.  the two putting on the best show the club has ever had.",2022-06-20 00:35:16.095672709+00:00,35,35,True,3
15574,"the taverndatter sisters team up for a spectacular, extravagant, even daring bar trick",2021-09-19 21:52:28.559173218+00:00,34,34,True,3
7136,"the human explorer hugs one of the snow leopard's fluffy tails, causing a diplomatic incident",2018-08-20 00:47:00.645767275+00:00,34,54,False,0
7106,sealeen spikes edinmires water with her transformation potions.,2018-08-19 23:29:28.163445356+00:00,34,50,False,0
3009,"amelia has windstraw try some catnip to help wake her up for the job, but it has some unintended side effects.",2022-06-05 23:11:26.059694474+00:00,34,34,True,6
6673,sam use colin as big fluffy pillow.,2018-06-10 20:02:06.470659224+00:00,34,50,False,0
13927,"mrs nibbly, in her anthro form, is lounging on her new wolf-skin rug. which looks a lot like remus...",2021-02-22 01:26:51.149651894+00:00,34,34,True,8
5486,pet daughter: walks pre & post da-da incident,2017-11-13 01:14:08.871207510+00:00,34,34,True,3
1896,basitin flirting 3 - a basitin guardswoman and human soldier play striper poker. basitin doesn't know that human cheats,2023-02-06 01:48:41.623696637+00:00,34,34,True,2
955,red screwing with demon core,2022-10-17 00:10:39.904043869+00:00,33,33,True,0
7551,gtog night 3: fem keidran red goes the wrong club and gets hit on by male keidran using cheesy keidran pickup lines. ,2018-11-19 00:14:34.495572498+00:00,33,49,False,0
6900,toms birthday: page 92 - redrawn,2018-07-15 22:41:07.774261574+00:00,33,62,False,0
1801,"after being kicked out of the templar college, red starts working as a tax collector. not a very wise choice - everybody just hates him more.",2023-01-23 01:31:12.777737071+00:00,33,33,True,2
14953,"mary silverlock uses transformation magic to turn into a snow wolf keidran. out of morbid curiosity, although feeling embarrassed doing so, she removes her robes to inspect her body in the fur.",2021-06-21 02:11:44.323992664+00:00,33,33,True,5
2943,amelia finding windstraw sleeping in increasingly bizarre positions and places throughout the riftwall tavern,2022-05-23 01:27:03.346803039+00:00,33,33,True,4
3843,"basitin holiday traditions, east vs. west: a look at how basitins decorate or celebrate the holiday and the differences between eastern and western basitin traditions",2021-12-06 03:35:40.015378585+00:00,33,33,True,8
16147,sam and collin introducing the other to their respective thanksgiving traditions.,2021-11-21 22:41:00.075465096+00:00,33,33,True,4
6810,daniels proposing to therie in secret.,2018-06-24 20:26:45.357895709+00:00,32,61,False,0
16123,the modern trio visit mekkan's greatest natural wonder.,2021-11-15 03:47:53.887803569+00:00,32,32,True,2
15448,"first time, interspecies edition: the wolf girl and human guy from the chart have a moment alone;  the human realizing that despite their reputation, wolves can be quite friendly...and playful.",2021-09-06 04:00:32.176678542+00:00,32,32,True,2
7100,snow leopard hotel cultural research ,2018-08-19 21:45:24.018857630+00:00,32,69,False,0
9497,lore: why don't dogs like foxes?,2019-11-17 22:20:41.455981072+00:00,32,32,True,2
2802,good morning modern trio - but they've all fallen asleep after an all night gaming session.,2022-05-16 01:26:41.097484947+00:00,32,32,True,6
6279,daniels proposes to therie who tearfully smiles at the gesture about to say yes,2018-04-08 22:18:15.503396062+00:00,32,60,False,0
8220,cheetah keidran species,2019-02-17 21:03:31.311546809+00:00,32,74,False,0
13172,"what happens if the player selects the ""lol flat cat"" option in the twokinds high dating sim.",2020-12-14 03:28:38.809182051+00:00,32,32,True,8
5078,renamon either posing for eric or threatening to punch him over a portrait of her.,2017-09-18 01:57:11.430304911+00:00,32,42,False,0
8063,raf kieth joins the ww2 lineup,2019-01-21 02:06:39.749899544+00:00,32,50,False,0
4220,animorphs: maren transform into a keidran,2017-04-23 23:17:08.294441894+00:00,31,66,False,0
6832,ms. potts uses a stepladder to pet colin,2018-06-24 22:52:43.225474232+00:00,31,70,False,0
13054,holidays with the snow leopard tribe,2020-12-06 23:37:48.126504848+00:00,31,31,True,1
15152,sythe druid of the forest (with nibbly),2021-07-11 23:29:12.283586965+00:00,31,31,True,0
5944,iris & her friend quiz therie about what she has learned about the humans (daniels).,2018-02-11 22:26:15.339837687+00:00,31,53,False,0
6050,what would a dragon keidran look like?,2018-03-04 21:07:44.683630157+00:00,31,59,False,0
6488,"fem fur red is taken shopping for some new clothes by karen, who's having a great time",2018-05-06 23:11:32.356055299+00:00,31,45,False,0
5317,"rework the map, with locations where you might find the new races",2017-10-22 22:18:03.917222648+00:00,31,48,False,0
3951,eggnog aftermath - sythe and maren awakening together after having indulged themselves too much in the holiday drink.,2021-12-13 02:14:45.900300672+00:00,31,31,True,5
6087,revenge of the prankster pixies,2018-03-04 23:25:24.567696766+00:00,31,56,False,0
7206,nibbly dressed as the grim reaper with her “sythe”,2018-09-16 21:22:59.399161481+00:00,31,61,False,0
5089,twokinds characters cosplaying who their favorite videogame characters would be.,2017-09-24 20:45:41.281853497+00:00,31,85,False,0
12911,cat keidran karen,2020-11-22 22:19:05.204719348+00:00,31,31,True,2
12329,adira and amelia playing under a waterfall (for sneptember!),2020-09-20 20:12:32.345967329+00:00,31,31,True,7
2402,carver successfully assimilated by western basitin ladies. loincloth and all.,2022-02-14 03:06:30.112311409+00:00,31,31,True,4
6151,seraphina finally becomes a dragon! unfortunately for her she's lizard sized.,2018-03-12 20:56:01.244141939+00:00,30,30,True,4
5871,auditions to twokinds: the movie,2018-02-04 22:21:09.452717121+00:00,30,61,False,0
10123,sythe reference sheet,2020-02-16 23:59:36.758197785+00:00,30,30,True,5
15646,chimera ref sheet,2021-09-20 03:43:10.907398096+00:00,30,30,True,4
15654,wolf girl and human man from the races chart sitting down together and actually getting to know one another,2021-09-20 04:37:55.119177726+00:00,30,30,True,8
9692,"the explorers are invited to share a communal tiger bed, much to their embarrassment ",2019-12-08 21:44:25.686487886+00:00,30,30,True,1
3096,"dj date: dj dragon accepts seraphina's date. to his surprise, turns out the two have a lot in common and sera really knows how to party.",2022-06-13 00:21:40.254499684+00:00,30,30,True,6
5035,eric's first drawing lessons: being shy with models,2017-09-17 20:40:38.154259226+00:00,30,67,False,0
4900,female characters' backside comparison chart,2017-08-20 23:48:55.694841418+00:00,29,57,False,0
14175,if lauren had a lost white fox sister,2021-04-05 03:28:28.134953503+00:00,29,29,True,1
6933,ms. potts uses a stepladder to pet colin,2018-07-15 23:17:11.131952885+00:00,29,47,False,0
7289,renamon posing for a portrait for eric,2018-10-14 20:01:09.431946659+00:00,29,59,False,0
10040,"eric's lewd suggestion. eric is a patron and his suggestion wins the ballot, all hell breaks loose.",2020-01-26 23:01:01.424370699+00:00,29,29,True,1
5986,the female main character from the halfkind comic returns!,2018-02-18 21:02:14.482272429+00:00,29,46,False,0
4128,keidranification: maren the kitty!,2017-04-09 23:33:42.407810162+00:00,29,82,False,0
1068,halloween: maren as a witch with sythe as her familiar,2022-10-24 00:34:40.695282432+00:00,29,29,True,0
13490,a full body drawing of a female keidran red nose reindeer.,2021-01-11 01:47:12.528704935+00:00,29,29,True,4
4925,"maren over-grooms sythe (maren gets carried away with grooming sythe, to the point of putting a bow on his head) ",2017-08-27 20:57:03.531119374+00:00,28,82,False,0
4839,lieutenant reed and daniels getting cursed with keidranfication collars!,2017-08-13 23:04:50.218377858+00:00,28,68,False,0
604,maren meets wolf maren and cat maren,2022-09-11 22:19:54.244874106+00:00,28,40,False,0
2851,amelia and windstraw ref sheet,2022-05-16 02:53:54.732382315+00:00,28,28,True,4
13610,"hunky snep guy finally pops the question to explorer girl, who is ecstatic and filled with so many questions! like why is he carrying her to the nearest hut, and what will happen once they get inside?",2021-01-25 04:07:26.042456475+00:00,28,28,True,2
15113,"what if karen put on the collar in magical mishaps, as she intended to do?",2021-07-05 01:31:32.628649464+00:00,28,28,True,6
9895,"nib nab 3,  nibby gets sythe and maren",2020-01-05 23:11:47.662419466+00:00,28,28,True,7
9587,"maren has a “nightmare” where she is getting married, with sythe becoming her husband.",2019-11-24 21:44:57.329552218+00:00,28,28,True,3
7467,sam & colin cuddling while watching & discussing their favourite tv show: twokinds.,2018-11-11 23:05:14.801660065+00:00,28,50,False,0
8060,birbkinds: what would a bird keidran look like?,2019-01-21 02:06:39.749899544+00:00,28,58,False,0
10239,"teleporter mishap: nibbly and maren combined, transforming maren into an anthro squirrel version of herself.",2020-02-24 00:28:21.160623868+00:00,27,27,True,8
257,a treehouse in a keidran tiger village.,2022-08-14 20:57:32.293922454+00:00,27,35,False,0
8031,half kind returns: an updated look of the main character from the pre-twokinds comic,2019-01-21 00:13:54.252401293+00:00,27,53,False,0
4713,that adorable river mermaid from last week's rowboat romance sketch,2017-07-16 22:59:00.818940323+00:00,27,41,False,0
4632,lt alice reed trying to interrogate the captured wolf terrorist but being distracted by it's fluffy cuteness.,2017-06-25 23:01:33.089408584+00:00,27,55,False,0
962,"modern trio skinny dipping in a shallow stream during a hiking drip, unaware of a certain squirrel stealing the clothes they left by the water's edge.",2022-10-17 00:10:39.904043869+00:00,27,37,False,0
14703,"wolf maren can't control her instincts - montage of hindpaw scratching, involuntary barks, howling - while she yells to her out of this unruly form.",2021-06-07 00:01:38.061988710+00:00,27,27,True,5
14599,good morning sythe,2021-05-24 02:55:44.451990921+00:00,27,42,False,0
1557,"chibi versions of the cast of twokinds doing the peanuts christmas dance from ""merry christmas charlie brown""",2022-12-19 02:42:37.873991200+00:00,27,27,True,3
8270,"eric ""studies"" chimera to see what kind of keidran she actually is, and he also adds a new painting to his collection",2019-02-19 01:32:19.644004353+00:00,27,39,False,0
6194,daniels & therie wake up in the same bed.,2018-03-18 21:03:47.290381912+00:00,27,77,False,0
8501,"red's week of female keidranification is over, only the collar left some ""unfortunate"" side effects from being left on for a week straight.",2019-03-18 00:58:07.285691107+00:00,27,58,False,0
14761,"wolf maren is giving loving nuzzles to sythe, but it’s purely instinct and nothing else!",2021-06-13 21:22:47.081741799+00:00,26,33,False,0
288,sythe and maren dancing at a club hosted by dj dragon.,2022-08-14 22:41:20.176899963+00:00,26,36,False,0
7455,guy-to-girl's night 3- fem red goes to the wrong club by mistake; male keidren try to pick her up using cheesy pickup lines.,2018-11-11 21:06:44.561135084+00:00,26,60,False,0
12988,the snow leopard family thanksgiving after years of not seeing each other adira and amelia are overwhelmed!,2020-11-23 02:02:25.533239750+00:00,26,26,True,4
1059,"modern trio skinny dipping in a shallow stream during a hiking trip, unaware of a certain squirrel stealing the clothes they left by the water's edge.",2022-10-24 00:34:40.695282432+00:00,26,35,False,0
6657,adira swimsuit pinup,2018-06-10 20:02:06.470659224+00:00,26,53,False,0
10099,"the explorers get married to their tiger mates, keidran-style",2020-02-16 21:58:29.066856226+00:00,26,26,True,1
4984,female characters' backside comparison chart,2017-09-10 21:45:56.745981717+00:00,26,79,False,0
8784,"no shirt, no pants, no service. adira throws sythe out of the tavern for wearing only his loincloth",2019-05-06 00:16:47.534407552+00:00,26,26,True,3
10589,"a gender swapped version of the three basitin generals, in swimsuits.",2020-04-06 01:02:45.308093729+00:00,26,26,True,3
13667,monty python holy hand grenade scene: the main 4 encounter a dangerous monster (nibbly) blocking their path. the only solution is to use the holy hand grenade.,2021-02-07 22:50:41.202700005+00:00,26,36,False,0
5103,female panther keidran in your style,2017-09-24 22:44:39.598511145+00:00,26,65,False,0
2979,"dj date: dj dragon accepts seraphina's date. to his surprise, turns out the two have a lot in common and sera really knows how to party.",2022-06-05 21:15:53.355651118+00:00,25,38,False,0
5605,iris and her friend quiz therie about what she has learned about the humans (daniels).,2017-12-11 01:37:16.147736134+00:00,25,33,False,0
1902,detritus as a necromorph from dead space,2023-02-06 01:48:41.623696637+00:00,25,32,False,0
5710,nibbly rocking out to some metal. \m/,2018-01-08 00:55:02.466771923+00:00,25,50,False,0
5958,ms. potts uses a stepladder to pet colin,2018-02-11 23:52:03.072312029+00:00,25,43,False,0
5683,mrs. nibbly's origin story,2018-01-07 22:52:19.948271102+00:00,25,64,False,0
997,good morning sythe,2022-10-17 01:46:15.579509046+00:00,25,32,False,0
5034,more fluffy winter coats,2017-09-17 20:40:38.154259226+00:00,25,72,False,0
3285,an excellent suggestion.,2022-03-21 02:00:53.926931570+00:00,25,33,False,0
510,"nibbly got a magic pen, bad days comes to all sythe enemies.",2022-09-05 00:08:05.196224464+00:00,25,35,False,0
792,lt. alice reed decides to try on the magic collar transforming into a lynx keidran. claiming it'll help with undercover work-she secretly just wanted to have some fun. ,2022-09-19 02:21:32.207312893+00:00,25,42,False,0
1751,"basitin flirting 2 - human soldier comes to apologize to basitin guardswoman with a box of beer. an hour later, both of them are drunk and kissing",2023-01-22 22:25:47.241303313+00:00,25,33,False,0
15724,"succubus maren gives her victim sythe the choice of what to play with him, trick or treat",2021-10-03 23:18:02.122877750+00:00,25,35,False,0
11040,good morning maren,2020-05-17 22:58:58.710538770+00:00,25,25,True,1
1298,good morning the modern trio,2022-11-14 00:29:58.461256435+00:00,25,34,False,0
4480,western basitin wearing nothing but ornamental ankle coverings,2017-06-11 19:51:32.157282077+00:00,25,57,False,0
712,"sythe brings maren home after their night at the club, and as he leaves, she pulls him into a kiss.",2022-09-18 21:54:12.482108812+00:00,25,34,False,0
376,nib nab with adira and amelia,2022-08-21 21:09:44.481049461+00:00,25,34,False,0
5791,iris and her friend quiz therie about what she has learned about the humans (daniels).,2018-01-21 21:38:10.578852645+00:00,25,53,False,0
4218,all male characters lined up showing off their physique,2017-04-23 23:17:08.294441894+00:00,25,66,False,0
7045,"a human explorer hugs one of the snow leopard's fluffy tails, causing a minor diplomatic incident",2018-08-12 23:20:38.185857563+00:00,25,51,False,0
1641,good morning northren basitin huntress,2023-01-15 23:25:36.129762673+00:00,25,37,False,0
15836,"wolf maren cuddling sythe in bed, she tells him it’s purely instinct though she refuses to let go of him.",2021-10-10 23:52:29.177745044+00:00,24,34,False,0
6642,"karaoke night at the estate. who's the best singer, who's the worst, and who secretly loves death metal. ",2018-05-20 23:58:00.342770164+00:00,24,44,False,0
6781,a father's day miracle: a proud euchre & mary play w/ their new daughter.,2018-06-18 02:27:04.858960863+00:00,24,39,False,0
8349,maren can’t get the image of stupid sexy sythe out of her head. it’s like he’s wearing nothing at all!,2019-03-04 02:16:39.016922754+00:00,24,54,False,0
2055,"coppertone maren: while going on a walk on the beach, nibbly bites and pulls down maren's bikini bottom, much to her shock and sythe's surprise. (wolf or human maren, up to tom)",2022-01-03 02:36:57.142868110+00:00,24,34,False,0
12483,big titty werewolf girlfriend ,2020-10-05 01:17:03.354470477+00:00,24,30,False,0
3317,"sythe gives maren a necklace as a gift, however due to a mix-up, the original necklace gets switched with a subtleseed necklace. ",2022-04-03 22:41:40.187896090+00:00,24,37,False,0
5348,coyote keidran,2017-10-23 00:48:23.629941579+00:00,24,43,False,0
4832,the remaining twokinds cast playing a second d&d style game,2017-08-13 21:38:22.636594642+00:00,24,81,False,0
7549,ralsei and susie from deltarune,2018-11-19 00:14:34.495572498+00:00,24,43,False,0
14428,amelia finds windstraw taking a bath in the sink along with the dishes she’s supposed to be washing.,2021-05-16 21:44:19.145160565+00:00,24,29,False,0
13650,snow leopard honeymoon: the north pole newlyweds doing (wholesome) honeymoon things in the tent. hot cocoa and snuggles perhaps.,2021-02-07 21:06:07.737048811+00:00,24,42,False,0
6043,tiger keidran marriage ceremony ,2018-03-04 21:07:44.683630157+00:00,24,61,False,0
459,a treehouse in a keidran tiger village.,2022-08-22 00:57:47.177642951+00:00,24,36,False,0
844,traditions of the tiger lands: a group of human explorers meet with tiger matriarch for the first time.,2022-10-02 23:21:50.254440739+00:00,24,37,False,0
1800,"keidran footwear guide! how footwear works for keidran, things like shoes, boots, armor greaves etc.",2023-01-23 01:31:12.777737071+00:00,24,36,False,0
9831,"sythe and maren enjoying a bowl of spaghetti, but end up with a lady and the tramp moment.",2019-12-16 00:59:10.473648021+00:00,23,23,True,1
