,name,date,votes,all_votes,winner,win_difference
8071,cheetah keidran,2019-02-03 21:49:19.244231455+00:00,96,96,True,8
6736,daniels meeting therie's parents!,2018-06-17 20:39:02.714569657+00:00,92,92,True,31
4549,"nibbly's bad fur day, because sythe tried to dry soaking wet nibbly with a hair dryer.",2017-06-18 21:01:54.182712289+00:00,90,90,True,10
4377,"karen trying to learn magic, accidentally turning maren into a keidran",2017-05-21 21:12:45.581820782+00:00,88,88,True,15
6381,keidran tails: body language quick reference,2018-04-22 20:05:21.562154961+00:00,86,86,True,14
4660,nibbly cornering a squirrelified sythe,2017-07-09 22:09:12.800429657+00:00,83,83,True,7
4314,♂ to ♀ lineup b,2017-05-14 19:59:27.436873320+00:00,78,78,True,6
5733,mrs. nibbly trying to solve a rubik's cube.,2018-01-14 21:04:37.546618818+00:00,76,76,True,7
5667,"a few of the off-set characters chat in the break room during ""filming"" of twokinds.",2018-01-07 21:31:03.954832693+00:00,76,76,True,11
6542,"king adelaid's mid life crisis, the desire for another child! all males to vanish.",2018-05-13 21:09:28.715004127+00:00,76,76,True,3
4566,the main group meeting their creator and both sides being confused,2017-06-18 22:38:32.212413682+00:00,74,74,True,9
6081,a secret kiss embrace between daniels & therie sah-van,2018-03-04 23:25:24.567696766+00:00,71,71,True,24
5690,"carver's wild teleport lands him in hot water... specifically, his boss's bath!",2018-01-07 22:52:19.948271102+00:00,68,68,True,9
4945,keidran growth/age chart from infant to adult,2017-08-27 23:12:50.243073534+00:00,68,68,True,3
6602,unaware of his reputation adira commissions a portrait from eric,2018-05-20 21:10:33.311171021+00:00,67,67,True,18
6963,snow leopard village ( before they lost their territory),2018-08-05 22:05:53.729460283+00:00,66,66,True,5
7296,tom leaves eric in charge of art for a day. things get a bit weird ,2018-10-14 21:09:02.870503848+00:00,66,66,True,25
5755,sythe-o-vision: flortani’s child,2018-01-14 21:52:59.747359845+00:00,66,66,True,2
7449,followup/aftermath of the body costume swap sketch.,2018-11-11 21:06:44.561135084+00:00,65,65,True,7
5872,keidran nibbly beckons sythe into bed,2018-02-04 22:21:09.452717121+00:00,65,65,True,8
5011,"maren + collar of keidranification, and sythe's reaction",2017-09-11 00:39:54.289772470+00:00,63,63,True,11
7997,the human girl researching the snow leopards gets turned into a snow leopard herself.,2019-01-14 00:54:11.721139011+00:00,62,62,True,3
5838,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-22 00:38:06.889946547+00:00,60,60,True,9
4321,tom's tablet's funeral,2017-05-14 22:23:48.194370767+00:00,59,59,True,12
8069,how exactly did red get kicked out of the templar college?,2019-02-03 21:49:19.244231455+00:00,58,94,False,0
5054,a human family adopts a stray puppy only to find out years later it was a keidran dog,2017-09-18 00:20:58.303190348+00:00,57,57,True,17
6693,"sealeen tries out a potion or keidranificaton she concocted, but it doesn't work quite right",2018-06-10 23:19:09.267466863+00:00,57,57,True,1
7032,snow leopard village 2: hot springs!,2018-08-12 21:52:09.793465860+00:00,57,57,True,1
8417,maren can’t get the image of stupid sexy sythe out of her head. it’s like he’s wearing nothing at all!,2019-03-11 00:06:33.421477754+00:00,55,74,False,0
6243,therie & daniels find magical amulets that switch their races.,2018-03-19 01:17:20.668766821+00:00,55,55,True,16
5346,"pet daughter: the dad reintroduces her to the family ""our dog is now your sister""",2017-10-23 00:48:23.629941579+00:00,55,55,True,20
8290,the whole gang in a storyboard room talking to each other figuring out what's gonna happen in the next comic,2019-03-03 21:56:58.442548813+00:00,54,84,False,0
6638,eric convinces iris and her friend to pose for a painting. (the tigresses from page 900),2018-05-20 23:58:00.342770164+00:00,54,54,True,5
4990,another kind/species of keidran we haven't yet seen,2017-09-10 21:45:56.745981717+00:00,53,81,False,0
6269,main characters as kids in a classroom,2018-04-08 20:25:59.081272032+00:00,53,76,False,0
5387,pet daughter 1.75: graduation,2017-11-05 22:28:49.338443329+00:00,53,94,False,0
6434,sketchception: tom live-streaming tom live-streaming tom live-streaming…,2018-04-22 23:54:33.127622235+00:00,53,53,True,9
6877,adira bikini pinup,2018-07-15 20:05:08.221195054+00:00,53,76,False,0
7608,adventurer lady writing in her notebook while unconsciously nomming on the end of her new snow leopard tail.,2018-11-25 23:43:17.363533431+00:00,52,52,True,6
6884,a human attempting to sneak into a wolf keidran village by dressing in a wolf fursuit.,2018-07-15 21:16:41.269612983+00:00,51,92,False,0
7079,everyone at a pool party!,2018-08-19 20:04:45.704316132+00:00,51,79,False,0
7491,holiday party shenanigans. maren catching sythe under the magic mistletoe.,2018-11-12 00:32:55.510927387+00:00,50,50,True,7
4126,dragon nibbly,2017-04-09 23:33:42.407810162+00:00,50,82,False,0
5129,pet keidran daughter hijinks - her parents tell her she was adopted.,2017-09-25 00:45:17.020158780+00:00,49,49,True,7
4809,female characters backside comparison chart,2017-08-13 19:49:13.074221271+00:00,49,78,False,0
4402,eric discovers the internet,2017-05-22 01:01:52.212105333+00:00,46,46,True,1
8389,a tigress noble helps guide two male human cartographers to map out the tiger territory!,2019-03-10 21:38:19.250108325+00:00,46,82,False,0
7561,"winter: sam “trips” into colin’s fluff, leaving one flushed doggo.",2018-11-19 01:53:09.832420605+00:00,46,46,True,14
3975,euchre character sheet,2021-12-19 22:24:51.753033125+00:00,45,45,True,21
5997,iris & her friend quiz therie about what she has learned,2018-02-18 21:37:15.105538262+00:00,44,44,True,3
7094,the girls playing truth or dare ,2018-08-19 21:45:24.018857630+00:00,43,70,False,0
4178,"all the main male characters lined up, showing off their physique.",2017-04-16 21:38:56.222254865+00:00,43,83,False,0
2086,reference sheet: master spy edmund sirus templar viii,2022-01-09 23:00:27.859737846+00:00,43,43,True,4
876,oktoberfest modern trio.,2022-10-03 02:25:17.145142305+00:00,42,42,True,22
5975,a steamy encounter: therie sah-van surprises daniels in the guards' showers.,2018-02-12 01:00:54.622676335+00:00,42,42,True,3
5039,new type: lynx keidran,2017-09-17 22:07:51.372271938+00:00,41,64,False,0
6789,"after the hint in their last sketch, therie & daniels as proud parents.",2018-06-18 02:27:04.858960863+00:00,41,41,True,6
218,"daniels and therie meeting therie's parents with their newborn. both are obviously nervous but therie's mom is overjoyed at the new ""cub"". her dad is showing daniels a skeptical look.",2022-08-08 03:05:02.204731981+00:00,41,41,True,11
1339,"modern trio skinny dipping in a shallow stream during a hiking trip, unaware of a certain squirrel stealing the clothes they left by the water's edge.",2022-11-14 01:49:06.072165533+00:00,41,41,True,5
7212,"adventurer at snow leopard village hugs a fluffy tail, causes a diplomatic incident",2018-09-16 21:22:59.399161481+00:00,41,65,False,0
556,a treehouse in a keidran tiger village.,2022-09-05 02:13:54.298537886+00:00,40,40,True,4
14135,how the artic wolf and northern basitin met and later become a couple.,2021-04-05 02:13:54.680717527+00:00,40,40,True,2
428,sythe and maren dancing at a club hosted by dj dragon.,2022-08-21 23:34:24.366554256+00:00,40,40,True,7
454,the modern trio discovers their fan art.,2022-08-22 00:57:47.177642951+00:00,40,40,True,7
4169,daniels' tigress friend dragging him off to shepards square,2017-04-16 19:42:05.738485880+00:00,39,77,False,0
5307,tigress #37 comforts daniels post-battle,2017-10-22 20:13:43.642304198+00:00,39,76,False,0
6137,seraphina finally becomes a dragon! unfortunately for her she's lizard sized.,2018-03-11 22:20:50.280200432+00:00,39,61,False,0
11723,karen catches maren giving sythe a belly rub,2020-08-02 21:17:07.107729070+00:00,39,39,True,6
828,a dentist's nightmare. dragon comes in for dental check-up,2022-10-02 23:21:50.254440739+00:00,39,39,True,6
1024,lt. alice reed decides to try on the magic collar transforming into a lynx keidran. claiming it'll help with undercover work-she secretly just wanted to have some fun. ,2022-10-17 02:55:10.829750173+00:00,39,39,True,10
4275,updated bust chart of the gender-bent group,2017-05-09 22:24:49.697449485+00:00,39,39,True,12
3449,kidkinds: the entire story has just been an elaborate game of make-believe being created by a group of friends separated by recess blocks at elementary school,2022-04-11 00:17:05.668694114+00:00,39,39,True,16
2661,adira and jade enjoy actually enjoyable mother's day pancakes thanks to some subtle and anonymous help the kids got.,2022-03-20 21:23:22.833219684+00:00,38,38,True,5
3268,"a former templar opens up an orphanage for human, keidran and basitin children. despite their differences and circumstances, the children off all three races get along and play under their caretaker's gentle eyes.",2022-03-21 00:42:55.721075510+00:00,38,38,True,1
2021,anklet of humanification - the return of vehra. she regains memories & magical prowess.,2022-01-03 01:21:54.054735012+00:00,38,38,True,1
1961,saria ref sheet,2022-01-02 22:03:52.026131685+00:00,38,38,True,8
14909,sythe rubs wolf-maren paws to help her relax. maren pretends she doesn't like this,2021-06-20 23:55:06.909045035+00:00,38,38,True,1
6738,adira dakimakura,2018-06-17 20:39:02.714569657+00:00,38,63,False,0
476,"""lieutenant reed... why do you have a tail?"" ""but sir, everybody has one just like this now. look, you do too!"" keiren wakes up in a panic from his very adorable snepmare.",2022-09-04 22:21:28.240976807+00:00,38,38,True,5
5788,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-14 23:57:11.336804041+00:00,38,56,False,0
13426,maren's pet grooming instincts kick in and she decides to give sythe a bath... together.,2021-01-10 21:09:37.664629091+00:00,38,38,True,3
1997,"the red-nosed reindeer gal relaxing on the beach in a bikini, taking a well-deserved break now that the holidays are done.",2022-01-02 23:43:02.230912281+00:00,37,37,True,7
529,sythe and wolf maren in the fur sharing a tender dance in the rain together,2022-09-05 01:22:22.568898269+00:00,37,37,True,3
15464,good morning amelia,2021-09-12 22:03:59.150283064+00:00,37,37,True,7
1687,keidran templar from https://twokinds.keenspot.com/comic/599/,2023-01-16 02:34:20.614066041+00:00,37,37,True,7
5767,nibbly rocking out to some metal. \m/,2018-01-14 22:51:45.000378404+00:00,37,57,False,0
5107,strip poker 2: lt. reed vs. sythe,2017-09-24 22:44:39.598511145+00:00,37,61,False,0
8523,maren brushes out sythe's matted fur as he lounges on her lap.,2019-04-07 20:15:27.181231854+00:00,37,72,False,0
4423,"""building alliances...through strip poker!?"" kei and alelaide",2017-06-05 00:01:40.606949578+00:00,37,37,True,3
5499,"a keiser family thanksgiving (western basitin style, how scandalous).",2017-11-19 21:14:00.680232302+00:00,37,67,False,0
4863,yes,2017-08-20 19:37:56.065028222+00:00,37,37,True,27
